Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
NSGAII,ZDT1,7,HV,0.6319099716171683
NSGAII,ZDT1,7,Time,73.42414617538452
NSGAII,ZDT1,8,IGD,0.026084328839918902
NSGAII,ZDT1,8,HV,0.6263089025496785
NSGAII,ZDT1,8,Time,73.76128125190735
NSGAII,ZDT1,9,IGD,0.018320208409994914
NSGAII,ZDT1,9,HV,0.6379095512119126
NSGAII,ZDT1,9,Time,74.82048344612122
NSGAII,ZDT1,10,IGD,0.022851233827184157
NSGAII,ZDT1,10,HV,0.6315090408982738
NSGAII,ZDT1,10,Time,74.60726118087769
NSGAII,ZDT1,11,IGD,0.022705650863823562
NSGAII,ZDT1,11,HV,0.6316481812956114
NSGAII,ZDT1,11,Time,72.31072759628296
NSGAII,ZDT1,12,IGD,0.023272918437757733
NSGAII,ZDT1,12,HV,0.6311751696358161
NSGAII,ZDT1,12,Time,67.8994402885437
NSGAII,ZDT1,13,IGD,0.019755682931644303
NSGAII,ZDT1,13,HV,0.6361695381537088
NSGAII,ZDT1,13,Time,71.34827828407288
NSGAII,ZDT1,14,IGD,0.02501279715431972
NSGAII,ZDT1,14,HV,0.6282087943177812
NSGAII,ZDT1,14,Time,71.19600582122803
NSGAII,ZDT1,15,IGD,0.022463899199346004
NSGAII,ZDT1,15,HV,0.6320058780903542
NSGAII,ZDT1,15,Time,69.12320899963379
NSGAII,ZDT1,16,IGD,0.02306597167521471
NSGAII,ZDT1,16,HV,0.6310457739024967
NSGAII,ZDT1,16,Time,68.74981212615967
NSGAII,ZDT1,17,IGD,0.023495337472214172
NSGAII,ZDT1,17,HV,0.6303717158798853
NSGAII,ZDT1,17,Time,73.06060695648193
NSGAII,ZDT1,18,IGD,0.023888061973029902
NSGAII,ZDT1,18,HV,0.6298969696728035
NSGAII,ZDT1,18,Time,70.42450213432312
NSGAII,ZDT1,19,IGD,0.021714180936399402
NSGAII,ZDT1,19,HV,0.6331203630701913
NSGAII,ZDT1,19,Time,68.70560073852539
NSGAII,ZDT1,20,IGD,0.022610767964182217
NSGAII,ZDT1,20,HV,0.632064868655955
NSGAII,ZDT1,20,Time,69.07499074935913
NSGAII,ZDT1,21,IGD,0.020500220370063882
NSGAII,ZDT1,21,HV,0.6350336487525499
NSGAII,ZDT1,21,Time,69.54097867012024
NSGAII,ZDT1,22,IGD,0.02193958644140968
NSGAII,ZDT1,22,HV,0.6325374791234831
NSGAII,ZDT1,22,Time,69.32078433036804
NSGAII,ZDT1,23,IGD,0.020200428167695565
NSGAII,ZDT1,23,HV,0.6353051638161941
NSGAII,ZDT1,23,Time,70.67559146881104
NSGAII,ZDT1,24,IGD,0.02660974266347038
NSGAII,ZDT1,24,HV,0.6256957637509633
NSGAII,ZDT1,24,Time,68.4791579246521
NSGAII,ZDT1,25,IGD,0.022409201882497343
NSGAII,ZDT1,25,HV,0.6320313306548274
NSGAII,ZDT1,25,Time,69.38941049575806
NSGAII,ZDT1,26,IGD,0.020604042354902
NSGAII,ZDT1,26,HV,0.6350091953070853
NSGAII,ZDT1,26,Time,72.28686714172363
NSGAII,ZDT1,27,IGD,0.02609993426647312
NSGAII,ZDT1,27,HV,0.6268354545648723
NSGAII,ZDT1,27,Time,72.32908535003662
NSGAII,ZDT1,28,IGD,0.02463142269696943
NSGAII,ZDT1,28,HV,0.6289126354889636
NSGAII,ZDT1,28,Time,70.54752802848816
NSGAII,ZDT1,29,IGD,0.023600982403070785
NSGAII,ZDT1,29,HV,0.6304932522486266
NSGAII,ZDT1,29,Time,75.4301815032959
NSGAII,ZDT2,0,IGD,0.06038268115161619
NSGAII,ZDT2,0,HV,0.2586147700323553
NSGAII,ZDT2,0,Time,68.22019052505493
NSGAII,ZDT2,1,IGD,0.0605182431861787
NSGAII,ZDT2,1,HV,0.2603202083913758
NSGAII,ZDT2,1,Time,70.6118278503418
NSGAII,ZDT2,2,IGD,0.04894786728664275
NSGAII,ZDT2,2,HV,0.2694064723776001
NSGAII,ZDT2,2,Time,69.95077466964722
NSGAII,ZDT2,3,IGD,0.0559498376773611
NSGAII,ZDT2,3,HV,0.2628071304553045
NSGAII,ZDT2,3,Time,69.45598530769348
NSGAII,ZDT2,4,IGD,0.06531505355686235
NSGAII,ZDT2,4,HV,0.25237373764436316
NSGAII,ZDT2,4,Time,71.49495100975037
NSGAII,ZDT2,5,IGD,0.056835287952095116
NSGAII,ZDT2,5,HV,0.2557647550424957
NSGAII,ZDT2,5,Time,71.49609708786011
NSGAII,ZDT2,6,IGD,0.05911135071795329
NSGAII,ZDT2,6,HV,0.2538861735095158
NSGAII,ZDT2,6,Time,74.5969557762146
NSGAII,ZDT2,7,IGD,0.054743989668297854
NSGAII,ZDT2,7,HV,0.2622851408343437
NSGAII,ZDT2,7,Time,76.05927920341492
NSGAII,ZDT2,8,IGD,0.06068177830227604
NSGAII,ZDT2,8,HV,0.2540477717793744
NSGAII,ZDT2,8,Time,71.5455482006073
NSGAII,ZDT2,9,IGD,0.0578220290851706
NSGAII,ZDT2,9,HV,0.2572455654666616
NSGAII,ZDT2,9,Time,74.77110886573792
NSGAII,ZDT2,10,IGD,0.0568016148778077
NSGAII,ZDT2,10,HV,0.25859536017725676
NSGAII,ZDT2,10,Time,71.88706302642822
NSGAII,ZDT2,11,IGD,0.059901781734394255
NSGAII,ZDT2,11,HV,0.25789799649798933
NSGAII,ZDT2,11,Time,71.24351835250854
NSGAII,ZDT2,12,IGD,0.0635797198831902
NSGAII,ZDT2,12,HV,0.2555554331438837
NSGAII,ZDT2,12,Time,69.2156150341034
NSGAII,ZDT2,13,IGD,0.06133518409166166
NSGAII,ZDT2,13,HV,0.25453259644893256
NSGAII,ZDT2,13,Time,71.70746541023254
NSGAII,ZDT2,14,IGD,0.049600727309301644
NSGAII,ZDT2,14,HV,0.26828264620563075
NSGAII,ZDT2,14,Time,70.59302711486816
NSGAII,ZDT2,15,IGD,0.054111294076954065
NSGAII,ZDT2,15,HV,0.26374103737120913
NSGAII,ZDT2,15,Time,69.91028618812561
NSGAII,ZDT2,16,IGD,0.06482292814161154
NSGAII,ZDT2,16,HV,0.25034352524146863
NSGAII,ZDT2,16,Time,69.56377387046814
NSGAII,ZDT2,17,IGD,0.04262812555062691
NSGAII,ZDT2,17,HV,0.2751870028725819
NSGAII,ZDT2,17,Time,71.49879813194275
NSGAII,ZDT2,18,IGD,0.04506973418361603
NSGAII,ZDT2,18,HV,0.2738315499445274
NSGAII,ZDT2,18,Time,70.93806958198547
NSGAII,ZDT2,19,IGD,0.07294302511307595
NSGAII,ZDT2,19,HV,0.24061283490441632
NSGAII,ZDT2,19,Time,69.75943326950073
NSGAII,ZDT2,20,IGD,0.0473017712646349
NSGAII,ZDT2,20,HV,0.2682894169140705
NSGAII,ZDT2,20,Time,71.2871561050415
NSGAII,ZDT2,21,IGD,0.046116642338085115
NSGAII,ZDT2,21,HV,0.2695956525861825
NSGAII,ZDT2,21,Time,69.86935806274414
NSGAII,ZDT2,22,IGD,0.05598852680636966
NSGAII,ZDT2,22,HV,0.25913082857658115
NSGAII,ZDT2,22,Time,70.14681673049927
NSGAII,ZDT2,23,IGD,0.06489640412642933
NSGAII,ZDT2,23,HV,0.24988920938348727
NSGAII,ZDT2,23,Time,69.29929876327515
NSGAII,ZDT2,24,IGD,0.053142172182337986
NSGAII,ZDT2,24,HV,0.2630371774154222
NSGAII,ZDT2,24,Time,77.32170629501343
NSGAII,ZDT2,25,IGD,0.07812957091667774
NSGAII,ZDT2,25,HV,0.24085065984127074
NSGAII,ZDT2,25,Time,69.92593216896057
NSGAII,ZDT2,26,IGD,0.06666345527898145
NSGAII,ZDT2,26,HV,0.2521759117381641
NSGAII,ZDT2,26,Time,70.50129890441895
NSGAII,ZDT2,27,IGD,0.047436978410722336
NSGAII,ZDT2,27,HV,0.2682793411730421
NSGAII,ZDT2,27,Time,68.63952946662903
NSGAII,ZDT2,28,IGD,0.06151160009385459
NSGAII,ZDT2,28,HV,0.2538231518109241
NSGAII,ZDT2,28,Time,70.17053055763245
NSGAII,ZDT2,29,IGD,0.04373592597445302
NSGAII,ZDT2,29,HV,0.27203725059659206
NSGAII,ZDT2,29,Time,71.8997552394867
NSGAII,ZDT6,0,IGD,1.2860504696290023
NSGAII,ZDT6,0,HV,0.0
NSGAII,ZDT6,0,Time,68.26406407356262
NSGAII,ZDT6,1,IGD,1.3464643316802958
NSGAII,ZDT6,1,HV,0.0
NSGAII,ZDT6,1,Time,70.85151219367981
NSGAII,ZDT6,2,IGD,1.03155229880861
NSGAII,ZDT6,2,HV,0.0
NSGAII,ZDT6,2,Time,73.66091418266296
NSGAII,ZDT6,3,IGD,1.4241024951582744
